Año,Mes,Región,Frecuencia 2017,Frecuencia 2018,fuente,AñoConsulta,MesConsulta,Frecuencia 2019,Frecuencia 2020,Frecuencia 2021,Frecuencia 2022,Frecuencia 2023,Frecuencia 2024,Frecuencia 2025
2024,Octubre,Región de Tarapacá,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Octubre,,,,,1.0,1.0,
2024,Octubre,Región de Antofagasta,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Octubre,,,,,6.0,6.0,
2024,Octubre,Región de Atacama,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Octubre,,,,,2.0,1.0,
2024,Octubre,Región de Coquimbo,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Octubre,,,,,2.0,2.0,
2024,Octubre,Región de Valparaíso,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Octubre,,,,,6.0,12.0,
2024,Octubre,Región Metropolitana de Santiago,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Octubre,,,,,51.0,55.0,
2024,Octubre,Región del Libertador Gral. Bernardo O’Higgins,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Octubre,,,,,4.0,7.0,
2024,Octubre,Región del Maule,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Octubre,,,,,3.0,3.0,
2024,Octubre,Región de Ñuble,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Octubre,,,,,1.0,0.0,
2024,Octubre,Región del Biobío,,,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2024,Octubre,,,,,5.0,12.0,
